username,followers,avg_views,avg_likes,avg_comments,avg_shares,video_count,avg_price,commission_rate,gmv_monthly,entry_date,refund_rate
creator_beau_001,983912,34931,1022,39,164,52,33.04,27.3,27790,2026-01-12,23.4
creator_beau_002,605230,46249,3515,317,342,44,32.25,14.9,173519,2025-11-17,17.9
creator_beau_003,1127025,197393,15057,500,1945,59,30.44,29.1,146373,2025-08-21,19.0
creator_beau_004,3325095,293754,19060,1075,2162,57,43.42,29.9,150691,2025-11-09,29.4
creator_beau_005,2413542,393558,23705,860,3440,20,17.77,17.2,18316,2024-11-29,27.7
creator_beau_006,3402745,610772,42178,1961,2284,31,40.45,11.5,157198,2025-03-28,15.8
creator_beau_007,660927,86047,6198,409,978,56,22.21,15.0,43684,2025-01-08,28.8
creator_beau_008,1900012,261082,7599,447,823,25,32.75,25.0,194839,2025-11-23,31.8
creator_beau_009,4518991,561454,20179,1220,2042,42,39.43,25.6,32666,2025-03-08,34.2
creator_beau_010,2369446,448794,35169,2179,3251,38,11.72,9.9,64633,2026-01-20,18.6
creator_beau_011,1709427,211166,10161,730,1893,34,38.59,6.8,48495,2024-12-01,26.9
creator_beau_012,4116057,233437,18236,1253,1566,41,13.86,18.8,149769,2024-11-23,16.9
creator_beau_013,1344875,62486,4043,167,580,58,22.71,7.0,91131,2025-07-17,32.2
creator_beau_014,461412,106280,6607,572,1225,29,36.7,10.8,97358,2025-03-16,27.7
creator_beau_015,362157,35115,1562,43,286,59,13.02,16.3,180763,2025-06-27,33.9
creator_beau_016,1908494,454205,5921,489,1066,18,27.29,16.5,13165,2024-11-20,35.0
creator_beau_017,2386799,373061,24811,2174,4867,50,38.28,20.3,173479,2025-02-25,15.5
creator_beau_018,2676142,419263,21021,1614,2368,25,12.26,5.5,90136,2025-03-17,31.0
creator_beau_019,4845403,840213,27313,1586,1984,60,10.29,7.6,95030,2025-03-03,16.7
creator_beau_020,1411028,98470,5760,403,1068,58,34.68,6.1,100498,2025-06-14,29.4
creator_beau_021,4477268,551224,35461,1383,2421,44,16.82,21.0,168266,2024-11-25,16.3
creator_beau_022,3405625,659083,47866,2438,9384,32,26.36,17.4,141125,2025-01-20,31.0
creator_beau_023,3783863,943687,62978,6134,12469,49,32.71,22.7,149178,2025-08-27,20.8
creator_beau_024,4777970,186641,13152,348,2529,51,36.53,11.6,60262,2025-03-06,23.3
creator_beau_025,479141,74488,1760,113,107,54,26.66,24.1,78327,2025-11-28,28.6
creator_beau_026,572453,106059,4911,319,981,44,25.7,14.4,50398,2025-08-05,33.2
creator_beau_027,2444237,420647,30941,840,4212,26,27.8,23.1,14777,2024-11-25,23.4
creator_beau_028,2524954,279916,7126,688,867,41,24.83,29.7,102943,2025-05-31,29.0
creator_beau_029,4556850,530750,10039,987,1759,58,35.98,29.5,126373,2025-06-24,29.4
creator_beau_030,4767635,575878,22549,1407,2441,43,17.43,13.3,25727,2025-12-11,31.9
creator_beau_031,3004267,202002,12205,721,2289,48,28.06,21.0,20396,2024-11-20,15.7
creator_beau_032,4804530,646738,8575,223,1619,26,41.27,19.1,13625,2025-08-19,33.6
creator_beau_033,3281609,107358,4183,344,664,51,28.7,29.8,68633,2025-02-11,25.4
creator_beau_034,3212428,148647,11795,688,1299,41,26.74,28.0,186327,2024-12-19,25.9
creator_beau_035,3675006,430079,26500,2402,3112,28,23.89,5.1,61307,2025-02-01,20.6
creator_beau_036,3886289,600211,38460,2293,4870,38,29.19,11.7,147372,2025-01-05,25.8
creator_beau_037,3145993,409083,18066,1202,3258,55,39.35,7.3,125179,2025-07-28,28.3
creator_beau_038,1166911,199713,11463,292,1542,28,30.58,9.1,97061,2025-11-11,27.6
creator_beau_039,712880,101576,2461,208,321,58,22.46,20.9,175351,2025-08-22,27.9
creator_beau_040,3177341,178783,10214,247,853,19,27.08,6.1,110100,2024-11-10,32.5
creator_beau_041,4954886,267435,4652,260,452,43,12.47,14.0,59430,2025-09-14,21.2
creator_beau_042,4669511,632190,10204,517,1152,55,31.78,24.9,70312,2025-04-24,34.9
creator_beau_043,2764459,119155,2424,185,173,19,12.1,18.2,100653,2025-02-22,22.5
creator_beau_044,1942325,127775,1937,170,183,36,19.79,28.8,24451,2025-07-19,18.4
creator_beau_045,3297281,692591,27222,1711,4901,34,25.57,27.0,129849,2024-11-16,16.6
creator_beau_046,219725,22924,1503,67,265,23,39.75,22.1,64757,2025-01-12,21.0
creator_beau_047,120998,9587,504,48,79,37,34.25,11.9,103690,2025-10-08,24.2
creator_beau_048,2626017,321697,23188,1153,3196,55,25.16,7.9,19071,2025-03-16,26.7
creator_beau_049,3063614,597483,12871,1191,2211,28,8.71,10.6,39394,2025-04-01,29.7
creator_beau_050,1515504,336913,23468,1146,3556,15,23.76,7.9,17029,2025-02-22,32.0
