date,video_count
2026-02-27,90
2026-02-28,98
2026-03-01,96
2026-03-02,89
2026-03-03,84
2026-03-04,86
2026-03-05,85
2026-03-06,85
2026-03-07,89
2026-03-08,90
2026-03-09,83
2026-03-10,82
2026-03-11,84
2026-03-12,80
2026-03-13,81
2026-03-14,92
2026-03-15,89
2026-03-16,78
2026-03-17,78
2026-03-18,81
2026-03-19,78
2026-03-20,76
2026-03-21,81
2026-03-22,84
2026-03-23,72
2026-03-24,73
2026-03-25,73
2026-03-26,70
2026-03-27,73
2026-03-28,82
2026-03-29,77
2026-03-30,71
2026-03-31,68
2026-04-01,73
2026-04-02,64
2026-04-03,74
2026-04-04,71
2026-04-05,75
2026-04-06,67
2026-04-07,64
2026-04-08,65
2026-04-09,62
2026-04-10,61
2026-04-11,73
2026-04-12,66
2026-04-13,64
2026-04-14,61
2026-04-15,57
2026-04-16,59
2026-04-17,56
2026-04-18,62
2026-04-19,70
2026-04-20,55
2026-04-21,51
2026-04-22,50
2026-04-23,49
2026-04-24,49
2026-04-25,55
2026-04-26,51
2026-04-27,48
