username,followers,avg_views,avg_likes,avg_comments,avg_shares,video_count,avg_price,commission_rate,gmv_monthly,entry_date,refund_rate
creator_home_001,272431,31521,2108,120,411,9,98.37,26.6,30465,2025-12-20,16.2
creator_home_002,48590,10188,579,38,63,19,20.43,10.7,15535,2026-04-07,10.4
creator_home_003,136028,18483,980,81,101,11,29.2,9.4,53861,2026-02-02,13.5
creator_home_004,335216,49665,1976,46,130,13,113.9,21.6,9973,2026-02-27,16.2
creator_home_005,116919,19734,221,8,34,21,36.94,28.9,57611,2025-12-24,10.4
creator_home_006,378334,26998,1528,146,132,13,68.89,11.8,4206,2025-12-10,8.0
creator_home_007,9531,1295,30,2,5,23,62.48,22.4,18821,2025-12-26,10.0
creator_home_008,299158,8981,528,50,86,8,75.63,9.1,49424,2025-11-12,17.8
creator_home_009,433529,41193,2640,151,168,6,78.14,24.9,9308,2025-11-22,10.3
creator_home_010,35096,6606,523,24,79,14,99.47,17.6,19996,2026-03-17,10.6
creator_home_011,590791,136680,8433,345,1349,20,116.22,21.1,36879,2026-02-03,13.0
creator_home_012,195123,41501,1215,95,85,15,81.01,22.4,45150,2026-03-24,8.4
creator_home_013,529511,46626,1392,137,95,24,92.48,15.4,1201,2025-12-28,14.8
creator_home_014,485761,22340,1694,63,327,16,96.76,11.4,23317,2025-12-18,8.5
creator_home_015,486362,24184,1126,36,189,12,77.93,20.9,38274,2025-11-14,9.5
creator_home_016,286961,14511,704,46,72,5,83.04,28.1,15197,2025-12-19,13.6
creator_home_017,527326,66940,3475,178,204,17,114.29,27.1,48580,2025-12-23,15.6
creator_home_018,316298,44996,3515,97,321,13,119.49,10.9,14427,2025-12-27,16.3
creator_home_019,242784,40889,1347,44,268,15,87.87,21.5,1972,2025-12-14,13.4
creator_home_020,481963,43607,2818,274,168,24,82.78,29.3,33433,2025-12-30,13.3
creator_home_021,351807,24997,1582,123,300,10,37.79,28.6,26498,2026-02-23,17.7
creator_home_022,286663,68685,1407,125,240,6,48.35,24.2,6710,2026-02-21,15.8
creator_home_023,251363,11564,307,22,53,15,119.12,7.9,22363,2026-04-06,8.7
creator_home_024,193536,39312,2869,168,282,13,94.68,14.1,42139,2025-12-31,12.8
creator_home_025,267140,63370,3167,129,279,8,101.08,24.4,41056,2025-12-14,9.8
creator_home_026,344314,18622,273,24,20,7,41.01,23.2,59886,2026-02-28,8.2
creator_home_027,554300,29266,1859,79,121,17,48.45,24.7,45763,2026-03-03,14.3
creator_home_028,120239,12664,358,32,62,14,88.44,21.1,15538,2026-03-23,8.3
creator_home_029,564473,135392,6017,216,662,23,31.42,9.9,2142,2026-01-08,12.4
creator_home_030,320086,55134,2859,171,534,25,98.33,18.2,33297,2026-03-22,10.2
creator_home_031,161727,36783,583,32,31,14,103.63,17.6,39512,2025-11-28,17.3
creator_home_032,268163,18489,553,51,85,16,75.82,13.3,25732,2025-12-11,9.1
creator_home_033,222508,41663,731,27,116,6,109.44,13.5,17293,2026-01-15,17.2
creator_home_034,102682,10475,536,53,91,24,24.93,8.1,9832,2026-03-24,14.8
creator_home_035,38294,4731,128,11,11,25,60.44,14.5,9572,2025-12-21,9.8
creator_home_036,124295,28873,397,25,33,18,95.97,17.0,15940,2025-11-08,11.5
creator_home_037,78539,12840,476,19,27,17,52.9,20.9,3175,2026-02-08,14.1
creator_home_038,147297,31559,547,48,83,7,45.38,10.8,54098,2025-11-05,16.6
creator_home_039,514030,46674,3025,246,401,23,33.83,12.9,27782,2026-03-13,11.2
creator_home_040,516868,104381,1575,35,268,7,62.88,14.1,56305,2026-01-01,13.7
creator_home_041,55575,5567,359,11,64,20,34.15,26.1,25062,2025-11-11,16.3
creator_home_042,42422,5588,373,25,57,25,20.46,17.1,46918,2025-11-29,8.9
creator_home_043,212715,31987,2487,113,209,14,112.11,24.9,42328,2026-03-03,12.1
creator_home_044,61240,2901,52,2,8,25,38.31,27.0,53294,2025-11-08,14.9
creator_home_045,425106,66173,5029,466,665,20,27.37,14.7,29785,2026-02-05,10.6
creator_home_046,358760,86350,6446,364,1052,19,119.6,18.9,36588,2025-11-14,11.2
creator_home_047,364169,84406,3673,298,569,24,105.81,6.7,25604,2025-11-28,17.4
creator_home_048,423102,31034,1792,154,182,19,99.3,10.8,55275,2026-01-06,12.6
creator_home_049,205724,38635,1921,91,183,9,80.45,9.2,13436,2025-12-30,16.5
creator_home_050,417368,96642,4780,198,476,13,65.35,19.7,59649,2026-01-12,15.2
