username,followers,avg_views,avg_likes,avg_comments,avg_shares,video_count,avg_price,commission_rate,gmv_monthly,entry_date,refund_rate
creator_kitc_001,174550,24651,1056,63,79,16,48.07,13.0,45371,2025-12-04,5.4
creator_kitc_002,482388,63012,3230,195,628,21,12.21,23.4,74512,2025-07-24,10.9
creator_kitc_003,75046,13653,419,34,23,35,51.07,7.6,75647,2025-06-14,6.6
creator_kitc_004,705556,72682,2562,96,417,11,37.46,29.9,3153,2025-08-12,9.7
creator_kitc_005,385075,90173,1572,130,150,20,16.15,24.1,59367,2026-03-13,7.8
creator_kitc_006,15066,1490,97,7,14,23,25.28,14.0,45458,2025-09-26,8.2
creator_kitc_007,118239,21853,1016,88,178,20,24.64,18.6,24786,2025-09-22,9.6
creator_kitc_008,485497,78280,1160,58,81,29,12.8,18.1,68107,2026-01-11,7.9
creator_kitc_009,615711,65117,3867,305,689,33,43.65,23.7,60536,2026-01-05,9.9
creator_kitc_010,193537,23141,404,10,38,25,57.46,25.1,35776,2025-06-07,10.7
creator_kitc_011,545962,50042,1278,85,74,9,50.36,17.0,72879,2025-09-08,8.5
creator_kitc_012,378145,83502,6465,232,882,19,43.16,9.4,39304,2025-07-10,7.3
creator_kitc_013,295647,44548,867,83,113,21,40.36,16.4,75922,2025-05-05,8.7
creator_kitc_014,237738,25015,796,67,159,10,34.26,24.8,45286,2026-01-13,10.9
creator_kitc_015,685960,134773,8947,493,706,16,45.08,14.0,19659,2025-07-23,11.3
creator_kitc_016,789592,186670,7302,362,1141,31,51.53,11.6,7328,2025-10-24,5.5
creator_kitc_017,492732,53335,1050,52,144,26,23.18,25.3,14046,2025-12-07,7.8
creator_kitc_018,349121,63066,3174,92,356,27,29.53,9.8,47157,2025-10-23,9.6
creator_kitc_019,597923,139793,1608,64,208,8,28.01,14.8,22578,2025-09-29,7.4
creator_kitc_020,37470,7409,391,16,53,19,23.08,10.8,5418,2025-07-27,5.6
creator_kitc_021,534977,29369,1895,180,293,8,18.49,15.3,61098,2025-05-30,6.3
creator_kitc_022,642590,61468,4575,109,515,26,20.56,21.8,79983,2025-12-28,10.5
creator_kitc_023,129366,23400,793,62,113,34,13.4,9.4,45321,2025-07-26,7.4
creator_kitc_024,149164,11208,141,7,25,29,17.56,12.8,7771,2026-02-12,10.9
creator_kitc_025,160703,35265,1876,174,204,22,45.58,21.6,44567,2026-02-23,8.4
creator_kitc_026,607978,124487,7167,670,1365,26,46.45,27.9,13703,2025-07-10,5.1
creator_kitc_027,734038,34950,2136,133,382,10,48.03,12.0,69757,2025-05-20,8.7
creator_kitc_028,471567,89466,1942,129,342,9,14.61,11.6,17203,2025-09-05,6.2
creator_kitc_029,203743,46274,2716,109,326,32,56.94,21.0,38226,2025-10-14,8.0
creator_kitc_030,222987,15354,196,10,15,23,45.4,27.4,49089,2025-05-09,5.6
creator_kitc_031,76292,4315,86,5,13,9,38.56,16.0,78282,2025-05-09,5.9
creator_kitc_032,766445,97998,4957,265,803,18,55.12,10.8,16435,2025-11-27,6.6
creator_kitc_033,595616,116549,6821,358,564,8,29.2,11.0,13892,2025-10-23,8.4
creator_kitc_034,568739,129604,5397,267,815,14,45.27,29.5,10601,2025-08-06,11.2
creator_kitc_035,707883,70595,2405,120,315,20,19.8,12.5,5266,2026-01-13,11.5
creator_kitc_036,454420,86473,3372,293,471,18,18.89,12.6,70852,2025-05-30,5.5
creator_kitc_037,202148,40072,2080,69,205,16,27.18,26.1,41462,2025-09-24,9.8
creator_kitc_038,225378,35897,862,63,47,26,18.99,23.7,38356,2026-01-05,7.4
creator_kitc_039,116663,22529,1633,55,171,11,21.56,10.0,54990,2025-08-23,6.6
creator_kitc_040,728666,108328,4646,302,341,20,14.68,11.6,79469,2025-09-29,9.3
creator_kitc_041,296643,13289,878,51,72,24,50.19,21.3,41563,2025-08-19,10.6
creator_kitc_042,339153,55062,3893,358,432,20,29.44,21.4,13836,2026-01-16,11.6
creator_kitc_043,256898,24517,1720,56,199,33,27.22,25.3,55253,2026-02-15,5.2
creator_kitc_044,103387,24892,545,36,28,34,37.24,24.3,61468,2026-01-27,9.7
creator_kitc_045,144082,20146,1574,67,164,27,32.64,27.6,36500,2025-11-13,10.8
creator_kitc_046,662596,158491,5190,408,831,35,57.96,19.2,29704,2025-05-03,5.3
creator_kitc_047,443082,22503,1266,83,111,8,24.23,7.0,67987,2025-08-04,5.8
creator_kitc_048,221118,20976,1428,73,143,21,16.93,26.2,58595,2025-06-05,10.9
creator_kitc_049,537935,19922,288,16,41,18,17.79,10.6,35793,2026-03-05,10.5
creator_kitc_050,82961,4036,129,13,10,26,14.95,24.0,21785,2025-05-09,5.4
