username,followers,avg_views,avg_likes,avg_comments,avg_shares,video_count,avg_price,commission_rate,gmv_monthly,entry_date,refund_rate
creator_pet__001,284596,61413,1619,71,243,15,67.98,19.3,5086,2026-03-20,6.6
creator_pet__002,28426,3464,174,11,32,7,65.79,16.9,24094,2026-02-15,8.3
creator_pet__003,35887,5928,194,4,11,13,40.35,13.0,14027,2026-04-05,4.8
creator_pet__004,171882,38581,2939,208,579,13,61.0,11.8,22201,2026-02-21,5.4
creator_pet__005,39104,2269,171,15,31,3,62.38,11.9,28276,2026-02-11,9.9
creator_pet__006,236692,9954,525,29,34,15,18.63,6.3,28350,2026-01-31,5.8
creator_pet__007,162093,19794,423,24,71,10,17.74,10.5,621,2026-02-20,7.9
creator_pet__008,32923,5547,164,5,21,5,52.97,17.2,24332,2026-02-01,8.5
creator_pet__009,77281,19293,1209,96,226,14,15.55,12.5,27445,2026-02-28,8.5
creator_pet__010,98132,3636,212,13,17,9,19.52,29.1,9800,2026-02-12,4.6
creator_pet__011,118904,27339,1060,86,72,13,38.97,23.9,17028,2026-03-30,5.9
creator_pet__012,55647,11426,778,26,58,13,42.02,7.7,11219,2026-03-27,6.9
creator_pet__013,237640,45778,1511,64,221,12,64.43,18.0,14095,2026-03-22,8.3
creator_pet__014,42717,4413,265,9,50,14,15.27,26.5,24432,2026-02-26,6.4
creator_pet__015,185561,38806,1119,41,182,18,60.44,5.2,6018,2026-04-12,3.0
creator_pet__016,77804,2774,52,3,10,18,63.84,11.2,15308,2026-03-27,6.6
creator_pet__017,38904,6679,243,19,39,16,39.81,21.1,18912,2026-03-23,8.7
creator_pet__018,88463,21942,1061,50,161,5,79.37,23.9,13314,2026-03-15,6.7
creator_pet__019,122930,4311,216,14,20,15,63.45,24.9,6434,2026-01-28,6.4
creator_pet__020,75363,12244,308,15,21,11,55.45,6.9,8854,2026-03-31,5.7
creator_pet__021,9979,1807,108,8,8,14,51.89,11.7,24270,2026-03-20,8.0
creator_pet__022,264788,30027,1085,32,203,6,31.23,18.5,25613,2026-02-18,5.0
creator_pet__023,214650,30139,2250,197,244,7,22.13,7.7,1193,2026-02-15,4.1
creator_pet__024,137258,32754,1161,51,75,7,15.89,18.8,28745,2026-03-05,5.3
creator_pet__025,119193,19102,203,19,26,12,47.75,23.0,8981,2026-03-14,9.0
creator_pet__026,262172,62276,1409,60,136,9,72.54,25.4,23023,2026-04-11,3.5
creator_pet__027,194002,45228,3365,308,473,8,26.57,18.3,20148,2026-04-01,7.8
creator_pet__028,78059,7403,149,13,29,10,74.34,11.1,27626,2026-04-03,3.4
creator_pet__029,204475,13549,897,64,71,13,22.05,6.9,20265,2026-03-15,3.2
creator_pet__030,130362,9900,522,14,38,3,55.81,17.4,26869,2026-03-12,4.0
creator_pet__031,177344,7836,266,18,22,4,63.18,7.9,15395,2026-02-19,6.8
creator_pet__032,241222,57298,4011,284,585,9,52.59,5.9,24935,2026-02-10,5.9
creator_pet__033,212517,6731,244,9,23,16,72.17,11.6,27975,2026-04-20,7.7
creator_pet__034,80376,13506,739,49,48,7,44.84,19.9,4008,2026-03-28,5.0
creator_pet__035,112915,27080,1196,108,136,6,63.56,25.4,20911,2026-02-25,7.3
creator_pet__036,73712,15860,606,56,114,18,17.54,21.1,2775,2026-02-26,3.7
creator_pet__037,297822,63680,1717,123,306,4,60.17,6.9,16707,2026-03-24,4.5
creator_pet__038,130182,5791,99,4,14,10,61.53,14.8,3819,2026-03-17,8.1
creator_pet__039,82542,20248,1416,103,101,16,47.36,11.1,24781,2026-04-09,5.5
creator_pet__040,253081,59536,1632,121,176,11,40.94,27.6,29762,2026-02-03,9.4
creator_pet__041,112512,16154,797,78,56,12,73.18,21.0,5571,2026-04-20,7.4
creator_pet__042,280280,32495,468,34,48,7,61.75,13.5,23935,2026-03-13,4.9
creator_pet__043,22426,4669,339,17,38,18,50.53,6.8,6572,2026-03-25,4.3
creator_pet__044,294105,39801,759,59,50,16,47.28,10.6,11977,2026-03-22,6.3
creator_pet__045,268950,14244,488,26,94,10,46.6,7.0,4993,2026-02-09,5.1
creator_pet__046,148860,7267,200,13,20,11,40.65,20.4,12352,2026-01-27,7.6
creator_pet__047,218981,49802,1804,172,170,7,17.03,14.2,10031,2026-04-17,9.4
creator_pet__048,66847,3204,126,12,17,8,56.12,24.3,29987,2026-04-19,9.1
creator_pet__049,26985,5642,347,34,28,13,48.74,19.4,20667,2026-03-15,3.7
creator_pet__050,9178,772,39,4,3,8,27.72,16.8,16376,2026-03-15,8.1
