username,followers,avg_views,avg_likes,avg_comments,avg_shares,video_count,avg_price,commission_rate,gmv_monthly,entry_date,refund_rate
creator_phon_001,1916670,200800,13513,604,1506,69,13.59,9.2,116108,2024-11-26,24.3
creator_phon_002,916169,80751,4516,261,423,37,6.4,29.2,302123,2024-05-29,22.8
creator_phon_003,1512120,253668,11852,370,2147,47,11.27,5.2,69647,2025-01-25,28.0
creator_phon_004,6852119,1316966,69947,6487,5693,25,5.04,10.8,121478,2025-06-01,27.3
creator_phon_005,2379936,398781,31097,2670,5581,49,18.91,29.9,339475,2024-07-02,22.9
creator_phon_006,1500491,305383,7704,385,479,63,15.86,11.2,446990,2025-04-17,24.4
creator_phon_007,4666707,331128,3815,323,452,50,13.64,15.9,217365,2025-02-13,26.3
creator_phon_008,5740209,1094554,43477,2239,2641,21,12.32,23.5,315457,2025-04-30,20.2
creator_phon_009,6898555,1139603,80974,4437,9694,43,5.6,26.7,249303,2024-10-16,18.5
creator_phon_010,6345197,1151970,26495,1593,1507,37,10.98,9.5,157376,2025-03-31,18.1
creator_phon_011,1578393,347683,22141,2186,4358,46,13.25,13.8,122165,2025-01-17,27.0
creator_phon_012,6763653,466105,19715,1406,3363,30,17.57,26.8,484514,2025-08-19,20.4
creator_phon_013,5397493,523789,31383,2318,2296,38,17.08,8.2,326478,2025-02-08,26.6
creator_phon_014,5865098,1101604,24698,2429,2219,73,9.16,23.6,392479,2025-06-16,27.2
creator_phon_015,4289232,416847,26532,1532,4052,29,18.91,10.3,360262,2025-04-16,21.2
creator_phon_016,5445594,573923,27349,1506,2533,40,12.08,27.0,46791,2024-09-01,27.8
creator_phon_017,5817414,726061,21332,1197,3884,31,16.08,21.3,46286,2024-11-16,24.5
creator_phon_018,4412684,250529,15774,467,1946,46,14.07,23.7,174136,2025-07-29,19.9
creator_phon_019,3242813,641268,38846,1304,2526,24,10.23,10.6,228139,2024-06-29,19.1
creator_phon_020,1882176,244123,6932,383,1121,41,14.83,17.9,184868,2025-04-22,28.0
creator_phon_021,7577272,1021720,33241,2584,3158,39,6.12,22.7,358287,2025-08-22,20.1
creator_phon_022,3617258,153602,2667,218,470,52,15.99,27.6,343683,2025-02-14,21.3
creator_phon_023,1836415,280724,19775,1421,3186,74,16.3,24.5,98207,2025-07-30,23.0
creator_phon_024,184172,17551,1361,121,167,32,11.58,18.9,305840,2024-05-16,22.1
creator_phon_025,4596390,842910,26405,1019,4483,54,12.62,15.2,409762,2024-12-11,27.8
creator_phon_026,893407,198212,14645,995,1993,69,18.37,22.7,469201,2025-05-30,19.8
creator_phon_027,6676465,1332375,85217,6469,11004,77,5.62,28.7,169019,2025-05-05,23.9
creator_phon_028,3397430,133165,8482,257,1301,77,6.06,7.9,91321,2025-08-22,25.9
creator_phon_029,555744,30288,441,27,23,43,15.81,23.1,176640,2025-07-15,18.4
creator_phon_030,6657723,1106199,80780,5158,13296,45,11.12,21.1,119942,2025-07-10,19.4
creator_phon_031,3516644,227955,11093,639,2191,62,15.35,27.6,67433,2024-07-31,27.5
creator_phon_032,2619319,297941,21844,1101,1210,43,15.08,22.4,183969,2024-08-21,26.0
creator_phon_033,1555144,379956,10801,975,1472,24,7.84,8.1,407332,2024-12-04,19.9
creator_phon_034,3279896,812587,44086,2290,2297,29,16.87,21.5,98586,2025-04-24,23.9
creator_phon_035,6020014,965753,25681,2198,3166,76,12.05,5.5,275890,2025-05-31,19.0
creator_phon_036,1119473,46495,1528,89,109,60,17.48,14.4,21351,2024-12-02,22.3
creator_phon_037,5967328,284869,20429,1241,3562,78,10.96,8.8,11853,2025-01-14,24.3
creator_phon_038,4845659,1170061,19664,972,2888,24,19.56,23.5,203465,2025-10-07,20.8
creator_phon_039,3211194,561613,20212,1295,1452,57,16.03,13.7,99206,2024-07-08,22.0
creator_phon_040,6737148,1638755,108150,6448,20265,45,15.42,12.7,404257,2025-03-29,21.0
creator_phon_041,6630117,240089,10910,279,842,79,9.12,19.1,428115,2025-09-10,23.4
creator_phon_042,4088745,182768,11935,416,1337,39,13.39,10.8,85273,2024-09-24,19.3
creator_phon_043,1301077,260270,3331,141,307,39,14.75,29.7,187035,2024-11-29,26.4
creator_phon_044,2943866,183093,9598,386,1871,24,17.2,29.6,9712,2025-02-11,19.9
creator_phon_045,980826,30108,1716,94,307,26,17.74,16.2,129729,2024-09-06,26.5
creator_phon_046,854912,141402,6886,276,887,74,8.83,8.7,82257,2025-04-22,22.4
creator_phon_047,5510392,1308844,45516,3115,7180,79,16.24,23.8,282449,2024-06-01,22.1
creator_phon_048,3841105,456134,30057,1708,4306,57,9.27,6.3,279055,2024-08-07,19.2
creator_phon_049,7601143,638232,42790,2341,3887,45,19.1,12.5,387729,2024-12-26,18.5
creator_phon_050,3076834,543162,8759,291,845,22,6.5,29.9,51172,2025-04-16,24.1
