date,video_count
2026-02-27,101
2026-02-28,109
2026-03-01,115
2026-03-02,103
2026-03-03,104
2026-03-04,106
2026-03-05,99
2026-03-06,101
2026-03-07,107
2026-03-08,110
2026-03-09,96
2026-03-10,95
2026-03-11,91
2026-03-12,92
2026-03-13,97
2026-03-14,106
2026-03-15,103
2026-03-16,91
2026-03-17,92
2026-03-18,91
2026-03-19,86
2026-03-20,87
2026-03-21,98
2026-03-22,96
2026-03-23,85
2026-03-24,84
2026-03-25,86
2026-03-26,87
2026-03-27,79
2026-03-28,92
2026-03-29,94
2026-03-30,79
2026-03-31,82
2026-04-01,80
2026-04-02,76
2026-04-03,74
2026-04-04,93
2026-04-05,87
2026-04-06,74
2026-04-07,75
2026-04-08,75
2026-04-09,79
2026-04-10,73
2026-04-11,83
2026-04-12,77
2026-04-13,70
2026-04-14,72
2026-04-15,70
2026-04-16,70
2026-04-17,66
2026-04-18,73
2026-04-19,76
2026-04-20,69
2026-04-21,62
2026-04-22,63
2026-04-23,60
2026-04-24,62
2026-04-25,65
2026-04-26,63
2026-04-27,58
